PaperID,title,authors,contacts,studyID,EffectID,journal,journalH5,publication_year,country,published,source,doi,citations,items,predictedDirection,inLabAdministration,research_design,strategy,frequency_of_intervention,number_of_intervention,lenght of intervention,timing_of_effect,when,duration_of_intervention,nationality,presence_of_individual_differences ,presence_of_stressTest,Type_of_StressTest,name of stress test,type_of_population,exact_type_of_population,Instrument,type_of_source,type_of_comparison_group,,,Measure,affect ,type_of_stress_component,Affective_consequences_of_stress ,focal variable,type_of_effect,nMale	,nFemale,% of Female,mean age,F,log.reg.B,B,beta,t,r,Chisq	,Waldchisq,df1,df2,p.reported,sd1,sd2,se1,se2,n1  (code the experimental group as n1),n2,n3,mean1 (code the experimental group),mean2,Domain.1.risk.of.bias,Domain.2.risk.of.bias,Domain.3.risk.of.bias,Domain.4.risk.of.bias,Domain.5.risk.of.bias,Overall.risk.of.bias,Included =1 Excluded =0 ,Notes,url
1,Heart rate variability is enhanced in controls but not maladaptive perfectionists during brief mindfulness meditation following stress-induction: A stratified-randomized trial,"Azam, Muhammad Abid; Katz, Joel; Fashler, Samantha R.; Changoor, Tina; Azargive, Saam; Ritvo, Paul","pritvo@yorku.ca, abidazam@yorku.ca
",1,1,International Journal of Psychophysiology,42,2015,1,1,1,10.1016/j.ijpsycho.2015.06.005,53,,,1,1,1,1,1,,1,,10,2,1,1,3,pattern recognition task (PRT),1,,,4,2,,,,,6,,1,,36,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Heart rate variability is enhanced in controls but not maladaptive perfectionists during brief mindfulness meditation following stress-induction: A stratified-randomized trial,"Azam, Muhammad Abid; Katz, Joel; Fashler, Samantha R.; Changoor, Tina; Azargive, Saam; Ritvo, Paul","pritvo@yorku.ca, abidazam@yorku.ca
",1,2,International Journal of Psychophysiology,42,2015,1,1,1,10.1016/j.ijpsycho.2015.06.005,53,,,1,1,1,1,1,,1,,10,2,1,1,3,pattern recognition task (PRT),1,,,4,2,,,,,6,,1,,36,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Examining the use of mindfulness meditation to enhance attention regulation efficiency in nursing students,"Burger, Kathleen G.",phillipsg@duq.edu.,2,1,,,2015,1,0,1,10.3928/01484834-20170619-08,3,10,,3,1,1,7,28,,1,,280,1,1,2,4,,1,,,1,1,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Examining the use of mindfulness meditation to enhance attention regulation efficiency in nursing students,"Burger, Kathleen G.",phillipsg@duq.edu.,2,2,,,2015,1,0,1,10.3928/01484834-20170619-08,3,39,,3,1,1,7,28,,1,,280,1,1,2,4,,1,,,1,1,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"The effects of an internet-delivered mindfulness-based intervention on perceived stress, psychological symptoms, and emotion regulation","Cairncross, Molly",,3,1,,,2019,1,0,1,https://search.proquest.com/openview/045361535539177cc9ce976567e9895a/1?pq-origsite=gscholar&cbl=18750&diss=y,0,31,,3,1,1,5,20,,1,,200,1,1,2,4,,1,,,1,1,,,,,3,,,,10,74,,21.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"The effects of an internet-delivered mindfulness-based intervention on perceived stress, psychological symptoms, and emotion regulation","Cairncross, Molly",,3,2,,,2019,1,0,1,https://search.proquest.com/openview/045361535539177cc9ce976567e9895a/1?pq-origsite=gscholar&cbl=18750&diss=y,0,10,,3,1,1,5,20,,1,,200,1,1,2,4,,1,,,1,1,,,,,2,,,,10,74,,21.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"The effects of an internet-delivered mindfulness-based intervention on perceived stress, psychological symptoms, and emotion regulation","Cairncross, Molly",,3,3,,,2019,1,0,1,https://search.proquest.com/openview/045361535539177cc9ce976567e9895a/1?pq-origsite=gscholar&cbl=18750&diss=y,0,10,,3,1,1,5,20,,1,,200,1,1,2,4,,1,,,1,1,,,,2,,,,,10,74,,21.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"The effects of an internet-delivered mindfulness-based intervention on perceived stress, psychological symptoms, and emotion regulation","Cairncross, Molly",,3,4,,,2019,1,0,1,https://search.proquest.com/openview/045361535539177cc9ce976567e9895a/1?pq-origsite=gscholar&cbl=18750&diss=y,0,10,,3,1,1,5,20,,1,,200,1,1,2,4,,1,,,1,1,,,,1,,,,,10,74,,21.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Improvements in stress, affect, and irritability following brief use of a mindfulness-based smartphone app: A randomized controlled trial","Economides, Marcos; Martman, Janis; Bell, Megan J.; Sanderson, Brad",marcos@headspace.com,1,1,Mindfulness,58,2018,1,1,1,10.1007/s12671-018-0905-4,57,12,,3,1,1,7,10,,1,,100,2,1,2,4,,2,,,2,2,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Improvements in stress, affect, and irritability following brief use of a mindfulness-based smartphone app: A randomized controlled trial","Economides, Marcos; Martman, Janis; Bell, Megan J.; Sanderson, Brad",marcos@headspace.com,1,2,Mindfulness,58,2018,1,1,1,10.1007/s12671-018-0905-4,57,12,,3,1,1,7,10,,1,,100,2,1,2,4,,2,,,2,2,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
